date,Y
1860-01-1,5
1861-01-1,3
1862-01-1,0
1863-01-1,2
1864-01-1,0
1865-01-1,3
1866-01-1,2
1867-01-1,3
1868-01-1,6
1869-01-1,1
1870-01-1,2
1871-01-1,1
1872-01-1,2
1873-01-1,1
1874-01-1,3
1875-01-1,3
1876-01-1,3
1877-01-1,5
1878-01-1,2
1879-01-1,4
1880-01-1,4
1881-01-1,0
1882-01-1,2
1883-01-1,3
1884-01-1,7
1885-01-1,12
1886-01-1,3
1887-01-1,10
1888-01-1,9
1889-01-1,2
1890-01-1,3
1891-01-1,7
1892-01-1,7
1893-01-1,2
1894-01-1,3
1895-01-1,3
1896-01-1,6
1897-01-1,2
1898-01-1,4
1899-01-1,3
1900-01-1,5
1901-01-1,2
1902-01-1,2
1903-01-1,4
1904-01-1,0
1905-01-1,4
1906-01-1,2
1907-01-1,5
1908-01-1,2
1909-01-1,3
1910-01-1,3
1911-01-1,6
1912-01-1,5
1913-01-1,8
1914-01-1,3
1915-01-1,6
1916-01-1,6
1917-01-1,0
1918-01-1,5
1919-01-1,2
1920-01-1,2
1921-01-1,2
1922-01-1,6
1923-01-1,3
1924-01-1,4
1925-01-1,4
1926-01-1,2
1927-01-1,2
1928-01-1,4
1929-01-1,7
1930-01-1,5
1931-01-1,3
1932-01-1,3
1933-01-1,0
1934-01-1,2
1935-01-1,2
1936-01-1,2
1937-01-1,1
1938-01-1,3
1939-01-1,4
1940-01-1,2
1941-01-1,2
1942-01-1,1
1943-01-1,1
1944-01-1,1
1945-01-1,2
1946-01-1,1
1947-01-1,4
1948-01-1,4
1949-01-1,3
1950-01-1,2
1951-01-1,1
1952-01-1,4
1953-01-1,1
1954-01-1,1
1955-01-1,1
1956-01-1,0
1957-01-1,0
1958-01-1,2
1959-01-1,0
